order_id,location_code,commodity_group,temperature_group,weight_lbs,cube,cases,is_crossdock,order_source,order_date,required_delivery_date
PO-20260512-001,SAF-MT-KAL,REFRIGERATED,COOLER_34_38F,6118,1105,129,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-002,SAF-MT-KAL,FROZEN,FREEZER_0F,13600,1072,287,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-003,SAF-MT-KAL,DRY,AMBIENT,6845,955,203,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-004,SAF-MT-POL,DRY,AMBIENT,5559,579,274,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-005,SAF-MT-POL,PRODUCE,COOLER_34_38F,14603,307,129,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-006,SAF-MT-POL,REFRIGERATED,COOLER_34_38F,911,230,165,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-007,SAF-MT-POL,FROZEN,FREEZER_0F,17421,1092,92,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-008,ALB-MT-MISA,DRY,AMBIENT,2400,868,20,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-009,ALB-MT-MISA,FROZEN,FREEZER_0F,12802,827,68,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-010,ALB-MT-MISA,REFRIGERATED,COOLER_34_38F,17239,488,33,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-011,ALB-MT-MISA,PRODUCE,COOLER_34_38F,15005,1267,227,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-012,ALB-MT-MISA,DRY,AMBIENT,16695,659,299,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-013,ALB-MT-MISB,FROZEN,FREEZER_0F,15849,379,168,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-014,ALB-MT-MISB,PRODUCE,COOLER_34_38F,13027,155,300,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-015,ALB-MT-MISB,DRY,AMBIENT,5159,1102,182,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-016,ALB-MT-WPT,DRY,AMBIENT,20258,664,299,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-017,ALB-MT-WPT,REFRIGERATED,COOLER_34_38F,11356,579,158,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-018,ALB-MT-MAL,DRY,AMBIENT,11607,862,100,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-019,ALB-MT-MAL,PRODUCE,COOLER_34_38F,10392,849,217,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-020,ALB-MT-MAL,REFRIGERATED,COOLER_34_38F,14555,1142,220,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-021,SAF-UT-OGD,PRODUCE,COOLER_34_38F,12933,1230,270,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-022,SAF-UT-OGD,FROZEN,FREEZER_0F,1943,715,64,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-023,SAF-UT-OGD,REFRIGERATED,COOLER_34_38F,19742,574,185,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-024,SAF-UT-PRO,PRODUCE,COOLER_34_38F,5982,592,247,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-025,SAF-UT-PRO,DRY,AMBIENT,15755,612,107,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-026,SAF-UT-PRO,REFRIGERATED,COOLER_34_38F,5674,1012,218,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-027,SAF-UT-PRO,FROZEN,FREEZER_0F,4491,198,116,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-028,ALB-UT-LOG,DRY,AMBIENT,4068,364,143,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-029,ALB-UT-LOG,REFRIGERATED,COOLER_34_38F,13911,1139,181,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-030,ALB-UT-LOG,PRODUCE,COOLER_34_38F,11388,515,272,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-031,ALB-UT-LOG,FROZEN,FREEZER_0F,15634,227,162,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-032,ALB-UT-PCT,PRODUCE,COOLER_34_38F,14076,596,280,FALSE,COSMOS,2026-05-11,2026-05-12
