order_id,location_code,commodity_group,temperature_group,weight_lbs,cube,cases,is_crossdock,order_source,order_date,required_delivery_date
PO-20260512-001,SAF-MT-KAL,REFRIGERATED,COOLER_34_38F,3665,284,169,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-002,SAF-MT-KAL,PRODUCE,COOLER_34_38F,5712,435,217,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-003,SAF-MT-KAL,PRODUCE,COOLER_34_38F,14496,679,187,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-004,SAF-MT-POL,PRODUCE,COOLER_34_38F,15313,721,59,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-005,SAF-MT-POL,DRY,AMBIENT,16280,789,95,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-006,SAF-MT-POL,REFRIGERATED,COOLER_34_38F,2499,951,45,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-007,ALB-MT-MISA,REFRIGERATED,COOLER_34_38F,2724,824,180,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-008,ALB-MT-MISA,FROZEN,FREEZER_0F,9860,704,264,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-009,ALB-MT-MISA,DRY,AMBIENT,10703,703,127,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-010,ALB-MT-MISB,PRODUCE,COOLER_34_38F,9920,672,120,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-011,ALB-MT-MISB,FROZEN,FREEZER_0F,15674,919,272,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-012,ALB-MT-MISB,FROZEN,FREEZER_0F,5133,651,137,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-013,ALB-MT-WPT,FROZEN,FREEZER_0F,12916,185,253,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-014,ALB-MT-WPT,REFRIGERATED,COOLER_34_38F,12892,984,51,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-015,ALB-MT-WPT,PRODUCE,COOLER_34_38F,16518,637,244,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-016,ALB-MT-MAL,DRY,AMBIENT,14834,390,129,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-017,ALB-MT-MAL,FROZEN,FREEZER_0F,12212,431,51,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-018,ALB-MT-MAL,REFRIGERATED,COOLER_34_38F,15322,387,84,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-019,SAF-WY-RKS,PRODUCE,COOLER_34_38F,2774,323,78,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-020,SAF-WY-RKS,DRY,AMBIENT,14947,230,31,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-021,SAF-WY-RKS,DRY,AMBIENT,14824,258,154,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-022,ALB-WY-EVN,DRY,AMBIENT,4450,518,281,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-023,ALB-WY-EVN,FROZEN,FREEZER_0F,9678,928,100,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-024,ALB-WY-EVN,PRODUCE,COOLER_34_38F,2490,604,164,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
