order_id,location_code,commodity_group,temperature_group,weight_lbs,cube,cases,is_crossdock,order_source,order_date,required_delivery_date
PO-20260512-001,SAF-MT-KAL,REFRIGERATED,COOLER_34_38F,5848,787,215,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-002,SAF-MT-KAL,DRY,AMBIENT,9832,672,135,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-003,SAF-MT-KAL,FROZEN,FREEZER_0F,6804,261,91,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-004,SAF-MT-POL,FROZEN,FREEZER_0F,732,257,40,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-005,SAF-MT-POL,REFRIGERATED,COOLER_34_38F,4904,134,157,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-006,ALB-MT-MISA,DRY,AMBIENT,2160,681,161,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-007,ALB-MT-MISA,PRODUCE,COOLER_34_38F,2239,774,286,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-008,ALB-MT-MISA,FROZEN,FREEZER_0F,8609,457,68,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-009,ALB-MT-MISA,REFRIGERATED,COOLER_34_38F,4439,522,267,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-010,ALB-MT-MISB,PRODUCE,COOLER_34_38F,6493,322,287,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-011,ALB-MT-MISB,REFRIGERATED,COOLER_34_38F,4986,484,136,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-012,ALB-MT-WPT,PRODUCE,COOLER_34_38F,3017,664,171,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-013,ALB-MT-WPT,DRY,AMBIENT,10733,445,146,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-014,ALB-MT-WPT,REFRIGERATED,COOLER_34_38F,10291,565,110,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-015,ALB-MT-WPT,FROZEN,FREEZER_0F,8341,194,196,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-016,ALB-MT-MAL,FROZEN,FREEZER_0F,11869,344,73,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-017,ALB-MT-MAL,PRODUCE,COOLER_34_38F,9102,275,159,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-018,SAF-UT-OGD,DRY,AMBIENT,1773,158,275,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-019,SAF-UT-OGD,REFRIGERATED,COOLER_34_38F,6030,563,294,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-020,SAF-UT-OGD,PRODUCE,COOLER_34_38F,2975,93,78,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-021,SAF-UT-OGD,FROZEN,FREEZER_0F,11682,145,138,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-022,SAF-UT-PRO,PRODUCE,COOLER_34_38F,1616,300,204,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-023,SAF-UT-PRO,DRY,AMBIENT,8559,378,93,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-024,SAF-UT-PRO,REFRIGERATED,COOLER_34_38F,8199,596,182,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-025,SAF-UT-PRO,FROZEN,FREEZER_0F,11727,288,268,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-026,ALB-UT-LOG,DRY,AMBIENT,5080,718,187,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-027,ALB-UT-PCT,FROZEN,FREEZER_0F,1587,577,234,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-028,ALB-UT-PCT,PRODUCE,COOLER_34_38F,2469,403,201,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-029,ALB-UT-PCT,REFRIGERATED,COOLER_34_38F,11662,287,171,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-030,ALB-UT-PCT,DRY,AMBIENT,9565,279,197,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-031,SAF-UT-LAY,PRODUCE,COOLER_34_38F,7118,699,29,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-032,SAF-UT-LAY,FROZEN,FREEZER_0F,7035,214,167,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-033,SAF-UT-LAY,DRY,AMBIENT,590,458,177,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-034,SAF-UT-LAY,REFRIGERATED,COOLER_34_38F,1211,777,149,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-035,ALB-UT-TOO,PRODUCE,COOLER_34_38F,3347,347,84,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-036,ALB-UT-TOO,REFRIGERATED,COOLER_34_38F,11157,654,130,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-037,ALB-UT-TOO,FROZEN,FREEZER_0F,10850,222,218,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-038,SAF-UT-STG,FROZEN,FREEZER_0F,9746,589,223,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-039,SAF-UT-STG,DRY,AMBIENT,3072,167,100,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-040,SAF-UT-STG,REFRIGERATED,COOLER_34_38F,2560,307,199,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-041,ALB-UT-CDR,FROZEN,FREEZER_0F,1461,577,137,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-042,ALB-UT-CDR,REFRIGERATED,COOLER_34_38F,7400,184,189,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-043,ALB-UT-VRN,PRODUCE,COOLER_34_38F,11193,704,243,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-044,ALB-UT-VRN,REFRIGERATED,COOLER_34_38F,5749,712,50,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-045,ALB-UT-VRN,FROZEN,FREEZER_0F,4862,140,233,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-046,ALB-UT-PRC,PRODUCE,COOLER_34_38F,11794,521,159,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-047,ALB-UT-PRC,REFRIGERATED,COOLER_34_38F,6241,548,29,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-048,ALB-ID-POC,REFRIGERATED,COOLER_34_38F,1819,235,74,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-049,ALB-ID-POC,DRY,AMBIENT,9682,501,136,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-050,ALB-ID-IDF,FROZEN,FREEZER_0F,5102,131,57,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-051,ALB-ID-IDF,REFRIGERATED,COOLER_34_38F,5946,586,144,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-052,ALB-ID-TWN,DRY,AMBIENT,2013,425,210,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-053,ALB-ID-TWN,FROZEN,FREEZER_0F,6171,642,24,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-054,ALB-ID-BOI,DRY,AMBIENT,6958,545,187,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-055,ALB-ID-BOI,REFRIGERATED,COOLER_34_38F,4026,388,140,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-056,ALB-ID-BOI,PRODUCE,COOLER_34_38F,9793,199,247,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-057,ALB-ID-REX,DRY,AMBIENT,10767,409,152,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-058,ALB-ID-REX,REFRIGERATED,COOLER_34_38F,2629,365,49,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-059,SAF-WY-RKS,FROZEN,FREEZER_0F,11530,98,129,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-060,SAF-WY-RKS,PRODUCE,COOLER_34_38F,4441,505,57,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-061,SAF-WY-RKS,REFRIGERATED,COOLER_34_38F,802,472,95,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
