order_id,location_code,commodity_group,temperature_group,weight_lbs,cube,cases,is_crossdock,order_source,order_date,required_delivery_date
PO-20260512-001,SAF-MT-KAL,DRY,AMBIENT,2893,68,94,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-002,SAF-MT-KAL,REFRIGERATED,COOLER_34_38F,2983,206,231,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-003,SAF-MT-KAL,PRODUCE,COOLER_34_38F,2408,75,56,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-004,SAF-MT-POL,DRY,AMBIENT,2550,129,221,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-005,ALB-MT-MISA,REFRIGERATED,COOLER_34_38F,7400,371,53,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-006,ALB-MT-MISB,REFRIGERATED,COOLER_34_38F,4209,211,28,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-007,ALB-MT-WPT,PRODUCE,COOLER_34_38F,4329,488,109,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-008,ALB-MT-WPT,REFRIGERATED,COOLER_34_38F,624,208,262,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-009,ALB-MT-MAL,REFRIGERATED,COOLER_34_38F,5668,486,43,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-010,ALB-MT-MAL,FROZEN,FREEZER_0F,1089,458,149,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-011,SAF-UT-OGD,REFRIGERATED,COOLER_34_38F,6807,367,206,TRUE,VENDOR_CSV,2026-05-11,2026-05-12
PO-20260512-012,SAF-UT-OGD,FROZEN,FREEZER_0F,6167,374,35,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-013,SAF-UT-PRO,DRY,AMBIENT,874,228,146,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-014,SAF-UT-PRO,PRODUCE,COOLER_34_38F,6069,378,125,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-015,ALB-UT-LOG,REFRIGERATED,COOLER_34_38F,6935,272,162,FALSE,COSMOS,2026-05-11,2026-05-12
PO-20260512-016,ALB-UT-LOG,PRODUCE,COOLER_34_38F,5350,120,216,FALSE,COSMOS,2026-05-11,2026-05-12
